user,folder_name,remove_start_image,remove_end_image,비고,,,,
,2020-05-13-0,20200513095500_35.jpg,20200513115500_52.jpg,레이더 없음,,,,
,2020-05-13-1,20200513120500_44.jpg,20200513163500_95.jpg,레이더 없음,,,,
,2020-05-13-1,20200513164500_77.jpg,20200513165500_53.jpg,레이더 없음,,,,
,2020-05-14-0,-,-,,,,,
,2020-05-14-1,20200514120103_91.jpg,20200514121634_01.jpg,물방울 맺힘,,,,
,2020-05-14-2,-,-,,,,,
,2020-05-15-0,20200515070003_74.jpg,20200515093001_46.jpg,안개,,,,
,2020-05-15-0,20200515101331_47.jpg ,20200515104137_21.jpg,안개,,,,
,2020-05-15-1,20200515123500_70.jpg,20200515124500_22.jpg,레이더 없음,,,,
,2020-05-15-1,20200515141500_95.jpg,20200515142500_63.jpg,레이더 없음,,,,
,2020-05-15-1,20200515151500_70.jpg,20200515152500_28.jpg,레이더 없음,,,,
,2020-05-15-1,20200515162500_22.jpg,20200515165500_31.jpg,레이더 없음,,,,
,2020-05-16-0,20200516070003_99.jpg,20200516115959_13.jpg,폴더 전체 사용 불가,,,,
,2020-05-16-1,20200516120103_76.jpg,20200516165959_74.jpg,폴더 전체 사용 불가,,,,
,2020-05-17-0,20200517070004_01.jpg,20200517115959_12.jpg,폴더 전체 사용 불가,,,,
,2020-05-17-1,20200517120103_70.jpg,20200517165959_54.jpg,폴더 전체 사용 불가,,,,
,2020-05-18-0,20200518070003_55.jpg,20200518074121_97.jpg,안개,,,,
,2020-05-18-0,20200518111500_03.jpg,20200518115959_06.jpg ,레이더 없음 & 안개,,,,
,2020-05-18-1,20200518120104_79.jpg,20200518141500_02.jpg,레이더 없음 & 안개,,,,
이정호,2020-05-19-1,20200519140003_53.jpg,20200519142050_85.jpg,레이더 없음,,,,
,2020-05-20-0,20200520072005_62.jpg,20200520073038_84.jpg,레이더 없음,,,,
,2020-05-20-0,20200520094000_40.jpg,20200520101007_23.jpg,레이더 없음,,,,
,2020-05-20-1,20200522000102_63.jpg,20200522115959_91.jpg,,,,,
,2020-05-21-0,20200521000103_51.jpg,20200521115959_17.jpg,폴더 전체 사용 불가,,,,
,2020-05-21-1,20200521120103_42.jpg,20200521161544_66.jpg,바다아님 & 바다근교,,,,
,2020-05-22-0,20200522000102_63.jpg,20200522115959_91.jpg,"폴더사용불가, 정박된사진",,,,
,2020-05-22-1,20200522120103_50.jpg,20200522155222_06.jpg,정박된사진 & 바다 근교,,,,
,2020-05-23-0,-,-,,,,,
,2020-05-23-1,-,-,전체적으로 흐릿하나 사용가능함,,,,
,2020-05-24-0,20200524060003_90.jpg,20200524115959_16.jpg,안개,,,,
,2020-05-24-1,20200524120103_35.jpg,20200524165945_95.jpg,"폴더 사용 불가, 정박 및 안개",,,,
,2020-05-24-2,20200524184732_83.jpg,20200524184914_55.jpg,폴더 사용 불가,,,,
,2020-05-24-3,20200524191452_87.jpg,20200524191852_48.jpg,폴더 사용 불가,,,,
,2020-05-24-4,20200524191956_17.jpg,20200524235959_64.jpg,폴더 사용 불가,,,,
